Country Name,Country Code,Indicator Name,2021
Aruba,ABW,Forest area (sq. km),4.2
Afghanistan,AFG,Forest area (sq. km),12084.4
Angola,AGO,Forest area (sq. km),660523.133
Albania,ALB,Forest area (sq. km),7889
Andorra,AND,Forest area (sq. km),160
United Arab Emirates,ARE,Forest area (sq. km),3173
Argentina,ARG,Forest area (sq. km),284636.667
Armenia,ARM,Forest area (sq. km),3282.6
American Samoa,ASM,Forest area (sq. km),171
Antigua and Barbuda,ATG,Forest area (sq. km),80.533
Australia,AUS,Forest area (sq. km),1340051
Austria,AUT,Forest area (sq. km),39027.4
Azerbaijan,AZE,Forest area (sq. km),11432.967
Burundi,BDI,Forest area (sq. km),2796.4
Belgium,BEL,Forest area (sq. km),6893
Benin,BEN,Forest area (sq. km),30851.5
Burkina Faso,BFA,Forest area (sq. km),61664
Bangladesh,BGD,Forest area (sq. km),18834
Bulgaria,BGR,Forest area (sq. km),39060
Bahrain,BHR,Forest area (sq. km),7.2
"Bahamas",BHS,Forest area (sq. km),5098.6
Bosnia and Herzegovina,BIH,Forest area (sq. km),21879.1
Belarus,BLR,Forest area (sq. km),87821
Belize,BLZ,Forest area (sq. km),12658.9
Bermuda,BMU,Forest area (sq. km),10
Bolivia,BOL,Forest area (sq. km),506207.733
Brazil,BRA,Forest area (sq. km),4953913.667
Barbados,BRB,Forest area (sq. km),63
Brunei Darussalam,BRN,Forest area (sq. km),3800
Bhutan,BTN,Forest area (sq. km),27270.6
Botswana,BWA,Forest area (sq. km),151364
Canada,CAN,Forest area (sq. km),3468911.133
Switzerland,CHE,Forest area (sq. km),12725.5
Channel Islands,CHI,Forest area (sq. km),10.2
Chile,CHL,Forest area (sq. km),183336.2
China,CHN,Forest area (sq. km),2218577.5
Cote d'Ivoire,CIV,Forest area (sq. km),27238.267
Cameroon,CMR,Forest area (sq. km),202844.8
Congo Dem. Rep,COD,Forest area (sq. km),1250538.633
Colombia,COL,Forest area (sq. km),589426.267
Comoros,COM,Forest area (sq. km),324.8
Cabo Verde,CPV,Forest area (sq. km),460.2
Costa Rica,CRI,Forest area (sq. km),30512.4
Cuba,CUB,Forest area (sq. km),32420
Curacao,CUW,Forest area (sq. km),0.7
Cayman Islands,CYM,Forest area (sq. km),126.6
Cyprus,CYP,Forest area (sq. km),1725.1
Czechia,CZE,Forest area (sq. km),26789
Germany,DEU,Forest area (sq. km),114190
Djibouti,DJI,Forest area (sq. km),58.733
Dominica,DMA,Forest area (sq. km),478.7
Denmark,DNK,Forest area (sq. km),6293.8
Dominican Republic,DOM,Forest area (sq. km),21521.9
Algeria,DZA,Forest area (sq. km),19583.333
Ecuador,ECU,Forest area (sq. km),124335.6
"Egypt Arab Rep.",EGY,Forest area (sq. km),449.8
Eritrea,ERI,Forest area (sq. km),10521
Spain,ESP,Forest area (sq. km),185764.6
Estonia,EST,Forest area (sq. km),24384
Ethiopia,ETH,Forest area (sq. km),169955
European Union,EUU,Forest area (sq. km),1594136.834
Finland,FIN,Forest area (sq. km),224090
Fiji,FJI,Forest area (sq. km),11467
France,FRA,Forest area (sq. km),173364
Faroe Islands,FRO,Forest area (sq. km),0.8
"Micronesia Fed. Sts.",FSM,Forest area (sq. km),644.5
Gabon,GAB,Forest area (sq. km),235187.2
United Kingdom,GBR,Forest area (sq. km),31986.667
Georgia,GEO,Forest area (sq. km),28224
Ghana,GHA,Forest area (sq. km),79929.333
Gibraltar,GIB,Forest area (sq. km),0
Guinea,GIN,Forest area (sq. km),61490
"Gambia",GMB,Forest area (sq. km),2369.333
Guinea-Bissau,GNB,Forest area (sq. km),19715.7
Equatorial Guinea,GNQ,Forest area (sq. km),24400.6
Greece,GRC,Forest area (sq. km),39018
Grenada,GRD,Forest area (sq. km),177
Greenland,GRL,Forest area (sq. km),2.2
Guatemala,GTM,Forest area (sq. km),35162
Guam,GUM,Forest area (sq. km),280
Guyana,GUY,Forest area (sq. km),184061.333
Honduras,HND,Forest area (sq. km),63383.1
Croatia,HRV,Forest area (sq. km),19416.1
Haiti,HTI,Forest area (sq. km),3441.9
Hungary,HUN,Forest area (sq. km),20515.567
Indonesia,IDN,Forest area (sq. km),915276.633
Isle of Man,IMN,Forest area (sq. km),34.6
Ireland,IRL,Forest area (sq. km),7860.2
Iraq,IRQ,Forest area (sq. km),8250
Iceland,ISL,Forest area (sq. km),520.033
Israel,ISR,Forest area (sq. km),1400
Italy,ITA,Forest area (sq. km),96199.4
Jamaica,JAM,Forest area (sq. km),6007.733
Jordan,JOR,Forest area (sq. km),975
Japan,JPN,Forest area (sq. km),249350
Kazakhstan,KAZ,Forest area (sq. km),34839.192
Kenya,KEN,Forest area (sq. km),36110.9
Kyrgyz Republic,KGZ,Forest area (sq. km),13336.2
Cambodia,KHM,Forest area (sq. km),79126.8
Kiribati,KIR,Forest area (sq. km),11.8
Kuwait,KWT,Forest area (sq. km),62.5
Lao PDR,LAO,Forest area (sq. km),165610
Lebanon,LBN,Forest area (sq. km),1439.3
Liberia,LBR,Forest area (sq. km),75871.8
Libya,LBY,Forest area (sq. km),2170
St. Lucia,LCA,Forest area (sq. km),207.7
Liechtenstein,LIE,Forest area (sq. km),67
Sri Lanka,LKA,Forest area (sq. km),21098.6
Latvia,LVA,Forest area (sq. km),34146.6
Morocco,MAR,Forest area (sq. km),57529.567
Monaco,MCO,Forest area (sq. km),0
Moldova,MDA,Forest area (sq. km),3865
Madagascar,MDG,Forest area (sq. km),124165.967
Maldives,MDV,Forest area (sq. km),8.2
Mexico,MEX,Forest area (sq. km),655643.167
Marshall Islands,MHL,Forest area (sq. km),94
North Macedonia,MKD,Forest area (sq. km),10014.9
Mali,MLI,Forest area (sq. km),132960
Malta,MLT,Forest area (sq. km),4.6
Myanmar,MMR,Forest area (sq. km),282541.8
Montenegro,MNE,Forest area (sq. km),8270
Mongolia,MNG,Forest area (sq. km),141716.7
Northern Mariana Islands,MNP,Forest area (sq. km),243.6
Mozambique,MOZ,Forest area (sq. km),364976.047
Mauritania,MRT,Forest area (sq. km),3073.667
Mauritius,MUS,Forest area (sq. km),388.1
Malawi,MWI,Forest area (sq. km),21997
Malaysia,MYS,Forest area (sq. km),190638.9
Namibia,NAM,Forest area (sq. km),65678.9
New Caledonia,NCL,Forest area (sq. km),8379.2
Niger,NER,Forest area (sq. km),10672.8
Nigeria,NGA,Forest area (sq. km),214636.5
Nicaragua,NIC,Forest area (sq. km),33075.3
Netherlands,NLD,Forest area (sq. km),3704.367
Norway,NOR,Forest area (sq. km),121878
Nepal,NPL,Forest area (sq. km),59620.3
Nauru,NRU,Forest area (sq. km),0
New Zealand,NZL,Forest area (sq. km),99085.267
Oman,OMN,Forest area (sq. km),24.333
Pakistan,PAK,Forest area (sq. km),36845.6
Panama,PAN,Forest area (sq. km),42024.233
Peru,PER,Forest area (sq. km),721575.333
Philippines,PHL,Forest area (sq. km),72234.8
Palau,PLW,Forest area (sq. km),414.9
Papua New Guinea,PNG,Forest area (sq. km),358222.3
Poland,POL,Forest area (sq. km),94950
Puerto Rico,PRI,Forest area (sq. km),4968.2
Portugal,PRT,Forest area (sq. km),33120
Paraguay,PRY,Forest area (sq. km),158229.267
French Polynesia,PYF,Forest area (sq. km),1494.6
Qatar,QAT,Forest area (sq. km),0
Romania,ROU,Forest area (sq. km),69290.5
Russian Federation,RUS,Forest area (sq. km),8153116
Rwanda,RWA,Forest area (sq. km),2770
Saudi Arabia,SAU,Forest area (sq. km),9770
Sudan,SDN,Forest area (sq. km),181873.9
Senegal,SEN,Forest area (sq. km),80281.6
Singapore,SGP,Forest area (sq. km),153.9
Solomon Islands,SLB,Forest area (sq. km),25222.4
Sierra Leone,SLE,Forest area (sq. km),25151.5
El Salvador,SLV,Forest area (sq. km),5793.8
San Marino,SMR,Forest area (sq. km),10
Somalia,SOM,Forest area (sq. km),59032.5
Serbia,SRB,Forest area (sq. km),27229.4
South Sudan,SSD,Forest area (sq. km),71570
Sao Tome and Principe,STP,Forest area (sq. km),512.8
Suriname,SUR,Forest area (sq. km),151840.433
Slovak Republic,SVK,Forest area (sq. km),19259
Slovenia,SVN,Forest area (sq. km),12357.933
Sweden,SWE,Forest area (sq. km),279800
Eswatini,SWZ,Forest area (sq. km),4987.7
Seychelles,SYC,Forest area (sq. km),337
Syrian Arab Republic,SYR,Forest area (sq. km),5220.8
Turks and Caicos Islands,TCA,Forest area (sq. km),105.2
Chad,TCD,Forest area (sq. km),42013.333
Togo,TGO,Forest area (sq. km),12063.1
Thailand,THA,Forest area (sq. km),198370
Tajikistan,TJK,Forest area (sq. km),4248
Turkmenistan,TKM,Forest area (sq. km),41270
Timor-Leste,TLS,Forest area (sq. km),9197
Tonga,TON,Forest area (sq. km),89.5
Trinidad and Tobago,TTO,Forest area (sq. km),2277.7
Tunisia,TUN,Forest area (sq. km),7042.6
Turkiye,TUR,Forest area (sq. km),223763.6
Tuvalu,TUV,Forest area (sq. km),10
Tanzania,TZA,Forest area (sq. km),452760
Uganda,UGA,Forest area (sq. km),22966.433
Ukraine,UKR,Forest area (sq. km),96960
Uruguay,URY,Forest area (sq. km),20520
United States,USA,Forest area (sq. km),3097950
Uzbekistan,UZB,Forest area (sq. km),37155
"Venezuela RB",VEN,Forest area (sq. km),461733.6
British Virgin Islands,VGB,Forest area (sq. km),36.2
Virgin Islands (U.S.),VIR,Forest area (sq. km),200.6
Viet Nam,VNM,Forest area (sq. km),147189.9
Vanuatu,VUT,Forest area (sq. km),4423
Samoa,WSM,Forest area (sq. km),1611.9
Kosovo,XKX,Forest area (sq. km),0
Zambia,ZMB,Forest area (sq. km),446258.133
Zimbabwe,ZWE,Forest area (sq. km),173985.1